lftUprLipRas,rgtBrwLwr,lftUprLidRas,lftUprLipStr,lftLwrLipStr,lftLwrLidTgt,lftChkRas,lftLwrLidRas,lftCnrDep,rgtNstrlFlr,ID,Group
0.0,0.863146,0.820453,0.287028,0.0,0.0,0.323258,0.0,0.0,0.0,S1PT12,PT
0.0,0.896344,0.0676929,0.287028,0.0,0.0,0.323258,0.0,0.156423,0.0,S1PT12,PT
0.0,0.879745,0.820453,0.287028,0.0,0.0,0.161629,0.0,0.0,0.0,S1PT12,PT
0.0,0.863146,0.820453,0.287028,0.0,0.0,0.323258,0.0,0.534362,0.0,S1PT12,PT
0.0,0.863146,0.820453,0.287028,0.0,0.0,0.0,0.0,0.0,0.0,S1PT12,PT
0.0,0.863146,0.820453,0.287028,0.0,0.0,0.323258,0.0,0.0,0.0,S1PT12,PT
0.0,0.896344,0.820453,0.698522,0.0,0.0,0.0,0.0,0.0,0.0,S1PT12,PT
0.0,0.885278,0.569533,0.287028,0.0,0.0,0.215506,0.0,0.0521409,0.0,S1PT12,PT
0.0,0.885278,0.569533,0.287028,0.0,0.0,0.215506,0.0,0.0521409,0.0,S1PT12,PT
0.0,0.879745,0.820453,0.287028,0.0,0.0,0.215506,0.0,0.0,0.0,S1PT12,PT
0.0,0.874212,0.694993,0.287028,0.0,0.0,0.107753,0.0,0.0260705,0.0,S1PT12,PT
0.0,0.879745,0.820453,0.287028,0.0,0.0,0.161629,0.0,0.0,0.0973331,S1PT12,PT
0.0,0.875134,0.778633,0.35561,0.0,0.0,0.170609,0.0,0.0977504,0.0,S1PT12,PT
0.0,0.878823,0.736813,0.300744,0.0,0.0,0.1742,0.0,0.0351924,0.0194666,S1PT12,PT
0.0,0.880206,0.674083,0.321319,0.0,0.0,0.193057,0.0,0.0749457,0.0,S1PT12,PT
0.0,0.875134,0.778633,0.35561,0.0,0.0,0.170609,0.0,0.0977504,0.0,S1PT12,PT
0.0,0.874212,0.694993,0.287028,0.0,0.0,0.161629,0.0,0.0260705,0.0973331,S1PT12,PT
0.0,0.875134,0.778633,0.35561,0.0,0.0,0.170609,0.0,0.0977504,0.0973331,S1PT12,PT
0.0,0.874673,0.736813,0.321319,0.0,0.0,0.166119,0.0,0.0619104,0.0486666,S1PT12,PT
0.0,0.880206,0.674083,0.287028,0.0,0.0,0.193057,0.0,0.0260705,0.0,S1PT12,PT
0.0,0.875134,0.694993,0.287028,0.0,0.0394671,0.170609,0.0,0.0260705,0.0973331,S1PT12,PT
0.0,0.877094,0.72113,0.316175,0.0,0.0,0.174874,0.0,0.0584897,0.0291999,S1PT12,PT
0.0,0.875134,0.778633,0.35561,0.0,0.0,0.170609,0.0,0.0977504,0.0,S1PT12,PT
0.0,0.0,0.857665,0.0,0.0,0.0,0.78307,0.267022,0.464939,0.0,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.0,0.0,0.621755,S1HC04,HC
0.549412,0.0,0.0,0.0,0.0,0.0,0.0,0.0106129,0.0,0.0,S1HC04,HC
0.0,0.444394,0.0,0.0,0.0256999,0.490275,0.0,0.0,0.0,0.0,S1HC04,HC
0.0,0.222197,0.428832,0.0,0.01285,0.245137,0.391535,0.133511,0.232469,0.0,S1HC04,HC
0.137353,0.111099,0.257947,0.142302,0.253525,0.180209,0.195768,0.0694087,0.116235,0.155439,S1HC04,HC
0.549412,0.0,0.493284,0.0,0.0,0.23056,0.0,0.0,0.770973,0.0,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.171691,0.0833239,0.338547,0.177877,0.313694,0.221617,0.146826,0.181295,0.279919,0.194298,S1HC04,HC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600863,0.639445,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.171691,0.0833239,0.112543,0.177877,0.9884,0.221617,0.0,0.52226,0.279919,0.621755,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.171691,0.0,0.338547,0.177877,0.9884,0.221617,0.146826,0.181295,0.279919,0.621755,S1HC04,HC
0.298408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514283,0.0,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.0,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.0,S1HC04,HC
0.0,0.0,0.68991,0.569206,0.0,0.23056,0.0427935,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.174124,0.0,0.9884,0.23056,0.66471,0.52226,0.514283,0.621755,S1HC04,HC
0.0,0.0,0.174124,0.569206,0.9884,0.23056,0.0,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0213968,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.68991,0.569206,0.0,0.23056,0.0427935,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.242457,0.455365,0.79072,0.23056,0.141501,0.52226,0.102857,0.497404,S1HC04,HC
0.0,0.0,0.432017,0.455365,0.4942,0.23056,0.0213968,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0213968,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.337237,0.512286,0.64246,0.23056,0.0814487,0.52226,0.0514283,0.559579,S1HC04,HC
0.0,0.0,0.454795,0.531259,0.428307,0.23056,0.0685636,0.52226,0.0342856,0.580304,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0427935,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.934072,0.512286,0.4942,0.23056,0.0814487,0.52226,0.0514283,0.621755,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0427935,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0213968,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.432017,0.569206,0.4942,0.23056,0.0427935,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.417617,0.527464,0.510673,0.23056,0.0471199,0.52226,0.0171428,0.60103,S1HC04,HC
0.0,0.0,0.432017,0.512286,0.4942,0.23056,0.0320951,0.52226,0.0,0.621755,S1HC04,HC
0.0,0.0,0.981127,0.0,0.931461,0.0,0.524081,0.0,0.0,0.311634,S1PT21,PT
0.0,0.0,0.0,0.0,0.0,0.893304,0.757213,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.342471,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.845031,0.981127,0.0,0.0,0.893304,0.723881,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.167715,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.845031,0.981127,0.0,0.0,0.893304,0.723881,0.886755,0.0803367,0.0,S1PT21,PT
0.637023,0.0,0.981127,0.0,0.0,0.893304,0.524081,0.805708,0.0803367,0.0,S1PT21,PT
0.358753,0.422516,0.981127,0.0,0.0,0.893304,0.623981,0.886755,0.0803367,0.0,S1PT21,PT
0.358753,0.0,0.981127,0.0,0.495799,0.601754,0.524081,0.886755,0.167715,0.0,S1PT21,PT
0.358753,0.211258,0.981127,0.0,0.0,0.893304,0.574031,0.886755,0.102181,0.0,S1PT21,PT
0.414407,0.295761,0.981127,0.0,0.0991598,0.834994,0.594011,0.870545,0.102181,0.0,S1PT21,PT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636578,0.0,0.0,S1PT21,PT
0.358753,0.633773,0.981127,0.0,0.0,0.893304,0.673931,0.886755,0.0803367,0.0,S1PT21,PT
0.25772,0.309845,0.654085,0.0,0.0330533,0.576099,0.422647,0.797959,0.0608393,0.0,S1PT21,PT
0.358753,0.633773,0.981127,0.0,0.0991598,0.893304,0.673931,0.886755,0.641303,0.0,S1PT21,PT
0.358753,0.633773,0.981127,0.0,0.0,0.893304,0.673931,0.886755,0.0803367,0.0,S1PT21,PT
0.325075,0.525797,0.872113,0.0,0.044071,0.787569,0.590169,0.857156,0.260826,0.0,S1PT21,PT
0.308236,0.471809,0.817606,0.0,0.0661065,0.734702,0.548289,0.842357,0.351071,0.0,S1PT21,PT
0.358753,0.633773,0.981127,0.0,0.0991598,0.576099,0.673931,0.797959,0.641303,0.0,S1PT21,PT
0.358753,0.633773,0.654085,0.0,0.0991598,0.893304,0.673931,0.886755,0.641303,0.0,S1PT21,PT
0.0,0.0,0.825917,0.653007,0.0,0.0,0.0,0.0,0.0,0.0,S1HC11,HC
0.417953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983646,0.0,S1HC11,HC
0.0,0.0,0.611211,0.449718,0.646897,0.0,0.851382,0.849689,0.0,0.0,S1HC11,HC
