Group,ID,TargetEmotion,nGeneration,nSelected
HC,S1HC13,Angry,4,4
HC,S1HC13,Angry,5,5
HC,S1HC13,Angry,6,5
HC,S1HC13,Angry,7,5
HC,S1HC13,Angry,8,8
HC,S1HC13,Fearful,1,3
HC,S1HC13,Fearful,2,4
HC,S1HC13,Fearful,3,3
HC,S1HC13,Fearful,4,4
HC,S1HC13,Fearful,5,3
HC,S1HC13,Fearful,6,4
HC,S1HC13,Fearful,7,4
HC,S1HC13,Fearful,8,4
HC,S1HC13,Happy,1,4
HC,S1HC13,Happy,2,4
HC,S1HC13,Happy,3,6
HC,S1HC13,Happy,4,3
HC,S1HC13,Happy,5,5
HC,S1HC13,Happy,6,5
HC,S1HC13,Happy,7,3
HC,S1HC13,Happy,8,3
HC,S1HC14,Angry,1,2
HC,S1HC14,Angry,2,3
HC,S1HC14,Angry,3,3
HC,S1HC14,Angry,4,2
HC,S1HC14,Angry,5,2
HC,S1HC14,Angry,6,2
HC,S1HC14,Angry,7,2
HC,S1HC14,Angry,8,5
HC,S1HC14,Fearful,1,3
HC,S1HC14,Fearful,2,3
HC,S1HC14,Fearful,3,4
HC,S1HC14,Fearful,4,3
HC,S1HC14,Fearful,5,3
HC,S1HC14,Fearful,6,2
HC,S1HC14,Fearful,7,3
HC,S1HC14,Fearful,8,3
HC,S1HC14,Happy,1,2
HC,S1HC14,Happy,2,6
HC,S1HC14,Happy,3,2
HC,S1HC14,Happy,4,5
HC,S1HC14,Happy,5,4
HC,S1HC14,Happy,6,5
HC,S1HC14,Happy,7,4
HC,S1HC14,Happy,8,4
HC,S1HC15,Angry,1,4
HC,S1HC15,Angry,2,5
HC,S1HC15,Angry,3,6
HC,S1HC15,Angry,4,4
HC,S1HC15,Angry,5,5
HC,S1HC15,Angry,6,4
HC,S1HC15,Angry,7,4
HC,S1HC15,Angry,8,5
HC,S1HC15,Fearful,1,3
HC,S1HC15,Fearful,2,5
HC,S1HC15,Fearful,3,5
HC,S1HC15,Fearful,4,3
HC,S1HC15,Fearful,5,3
HC,S1HC15,Fearful,6,4
HC,S1HC15,Fearful,7,5
HC,S1HC15,Fearful,8,5
HC,S1HC15,Happy,1,3
HC,S1HC15,Happy,2,3
HC,S1HC15,Happy,3,5
HC,S1HC15,Happy,4,3
HC,S1HC15,Happy,5,5
