ID,TargetEmotion,nGeneration,selected_elite_cosdist,selected_elite_cosdist,selected_cen_cosdist,selected_cen_cosdist,selected_elite_cosdist_bs,selected_elite_cosdist_bs,selected_cen_cosdist_bs,selected_cen_cosdist_bs,nonselected_elite_cosdist,nonselected_elite_cosdist,nonselected_cen_cosdist,nonselected_cen_cosdist,nonselected_elite_cosdist_bs,nonselected_elite_cosdist_bs,nonselected_cen_cosdist_bs,nonselected_cen_cosdist_bs
,,,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count
S1HC04,Angry,2,0.5667313026614375,4,0.2854509960292618,4,0.4876856690547455,4,0.2374168610506356,4,0.9480465909972843,6,0.6089340118540181,6,0.7728009768847142,6,0.4796437537243987,6
S1HC04,Angry,3,0.5408712729299662,4,0.31682110825649845,4,0.4450570316089125,4,0.2210303289697672,4,1.0823274262430422,6,0.5647664840970013,6,0.7291053996299647,6,0.5255287733281843,6
S1HC04,Angry,4,0.5041232745433799,5,0.3845378340142215,5,0.4042288923256079,5,0.23931991943669706,5,0.7274325481126462,5,0.5153984691520497,5,0.6010372842419965,5,0.3769971811246212,5
S1HC04,Angry,5,0.4147636348091169,5,0.19749211984829718,5,0.31378203352345196,5,0.1737365293872137,5,0.7782608429566407,5,0.624894925586122,5,0.7155496810331015,5,0.48469175558214916,5
S1HC04,Angry,6,0.22187461204139633,3,0.024243552706344484,3,0.1380187525648017,3,0.054570535237528785,3,0.7550683139554552,7,0.6269390712988683,7,0.6243402713843907,7,0.4368671877453728,7
S1HC04,Angry,7,0.22359424801961497,5,0.06330447665033223,5,0.1544172173742502,5,0.05356285748764158,5,1.042473055196729,5,0.5996613934891487,5,0.8395837131345957,5,0.5415149498104596,5
S1HC04,Angry,8,0.1623648761966903,6,0.04600470174998178,6,0.12073008945596331,6,0.03800681075117387,6,1.22957008799153,4,0.42101515128316747,4,0.9191271869664391,4,0.4002847502199961,4
S1HC04,Fearful,1,0.5189126092845439,2,0.16008471020430737,2,0.4535040103274662,2,0.22360020262581726,2,1.216020929295032,8,0.5647651740934317,8,0.8859683635341801,8,0.5361712641538048,8
S1HC04,Fearful,2,0.5745033353717742,6,0.38846546074297245,6,0.48046426947367316,6,0.31683273699624087,6,1.1193673678056606,4,0.6489552377740684,4,0.7870085432708597,4,0.402546488159533,4
S1HC04,Fearful,3,0.16165243230711734,2,0.030571492298708203,2,0.17920319584983957,2,0.026478982673651064,2,0.9419353035408028,8,0.5393014821739841,8,0.730892573500574,8,0.40140820482618433,8
S1HC04,Fearful,4,0.1585199991270737,2,0.03503902363755318,2,0.16539159440395595,2,0.0388404482868987,2,0.6671004738901908,8,0.5353992655386544,8,0.5265019742208669,8,0.3890285878793545,8
S1HC04,Fearful,5,0.12749228243551214,4,0.034601946437401554,4,0.15598074030245884,4,0.030530387944565973,4,0.802358848233128,6,0.4514673793203075,6,0.6089080563060651,6,0.38522080736814623,6
S1HC04,Fearful,6,0.13876575495684312,4,0.07845653175577097,4,0.19973295131008234,4,0.06442923797067024,4,0.7469834489459354,6,0.6082485534481786,6,0.6398884794604093,6,0.48280393941883876,6
S1HC04,Fearful,7,0.1295423606223271,6,0.05178071790974751,6,0.1685704812457245,6,0.04979724053911309,6,0.8951020590451432,4,0.45280881141369655,4,0.7312396334848027,4,0.4251146859314393,4
S1HC04,Fearful,8,0.08374644423862813,5,0.04655813047521915,5,0.13898887308391583,5,0.06328559645078038,5,0.9987824754405787,5,0.5898344970187974,5,0.6779049792126747,5,0.46741357906311587,5
S1HC04,Happy,1,0.6374924989478145,3,0.46965637878490024,3,0.5436381910187977,3,0.3736268108911393,3,1.0143048179395593,7,0.4999448184959258,7,0.9312982238906538,7,0.5134285523764006,7
S1HC04,Happy,2,0.3481112161189064,4,0.28976824129009837,4,0.2871477880825173,4,0.22261973598172974,4,0.8273134080572121,6,0.5083449540418309,6,0.6791652482535598,6,0.3984099785023951,6
S1HC04,Happy,3,0.1430952291167339,3,0.09756955331628987,3,0.15967932120245357,3,0.10082011523313421,3,0.833915620379016,7,0.6686563974944525,7,0.6754367786144544,7,0.45021550213624034,7
S1HC04,Happy,4,0.22666063044441334,6,0.19687842640482836,6,0.18212692568344754,6,0.15801745817038937,6,1.0508611704860882,4,0.4305225017646191,4,0.9682457039713875,4,0.4346592659507905,4
S1HC04,Happy,5,0.22500153042624332,4,0.15335152792484827,4,0.1634672571713128,4,0.13114051893788187,4,0.6645456423805225,6,0.4812521446968711,6,0.5895693314656164,6,0.4517134791240125,6
S1HC04,Happy,6,0.0546369859138075,2,0.028307526312252806,2,0.11819517879155511,2,0.06327406300505672,2,0.5787892929996813,8,0.5139872146308622,8,0.5176151592743331,8,0.3874748346435267,8
